layer,train_input,test_input,subset,fold,auroc,n,pos
2,cq,cq,all,3,0.659331763320577,244,158
2,cq,cq,all,4,0.7397862554112553,244,132
2,cq,cq,C+,oof,0.7052525663636774,612,378
2,cq,cq,C+,0,0.7296495956873315,123,70
2,cq,cq,C+,1,0.6807039597737272,123,86
2,cq,cq,C+,2,0.7122655122655123,122,77
2,cq,cq,C+,3,0.6676479246393876,122,79
2,cq,cq,C+,4,0.7429653679653679,122,66
2,cq,cq,C-,oof,0.6984126984126984,612,378
2,cq,cq,C-,0,0.7296495956873315,123,70
2,cq,cq,C-,1,0.6759899434318039,123,86
2,cq,cq,C-,2,0.7067821067821067,122,77
2,cq,cq,C-,3,0.6511627906976745,122,79
2,cq,cq,C-,4,0.7386363636363635,122,66
2,cq,q,all,oof,0.53001628001628,1224,756
2,cq,q,all,0,0.6752021563342318,246,140
2,cq,q,all,1,0.6351351351351352,246,172
2,cq,q,all,2,0.6822510822510823,244,154
2,cq,q,all,3,0.710921401236385,244,158
2,cq,q,all,4,0.6804653679653679,244,132
2,cq,q,C+,oof,0.53001628001628,612,378
2,cq,q,C+,0,0.6752021563342318,123,70
2,cq,q,C+,1,0.6351351351351352,123,86
2,cq,q,C+,2,0.6822510822510823,122,77
2,cq,q,C+,3,0.710921401236385,122,79
2,cq,q,C+,4,0.6804653679653679,122,66
2,cq,q,C-,oof,0.53001628001628,612,378
2,cq,q,C-,0,0.6752021563342318,123,70
2,cq,q,C-,1,0.6351351351351352,123,86
2,cq,q,C-,2,0.6822510822510823,122,77
2,cq,q,C-,3,0.710921401236385,122,79
2,cq,q,C-,4,0.6804653679653679,122,66
3,q,q,all,oof,0.6489395378284268,1224,756
3,q,q,all,0,0.6412398921832884,246,140
3,q,q,all,1,0.642049025769956,246,172
3,q,q,all,2,0.6802308802308803,244,154
3,q,q,all,3,0.5799234618781277,244,158
3,q,q,all,4,0.7123917748917749,244,132
3,q,q,C+,oof,0.6489395378284267,612,378
3,q,q,C+,0,0.6412398921832884,123,70
3,q,q,C+,1,0.6420490257699559,123,86
3,q,q,C+,2,0.6802308802308802,122,77
3,q,q,C+,3,0.5799234618781277,122,79
3,q,q,C+,4,0.712391774891775,122,66
3,q,q,C-,oof,0.6489395378284267,612,378
3,q,q,C-,0,0.6412398921832884,123,70
3,q,q,C-,1,0.6420490257699559,123,86
3,q,q,C-,2,0.6802308802308802,122,77
3,q,q,C-,3,0.5799234618781277,122,79
3,q,q,C-,4,0.712391774891775,122,66
3,q,cq,all,oof,0.5078177994844661,1224,756
3,q,cq,all,0,0.5913072776280323,246,140
3,q,cq,all,1,0.5092708988057826,246,172
3,q,cq,all,2,0.7054834054834055,244,154
3,q,cq,all,3,0.5480571092140125,244,158
3,q,cq,all,4,0.6125541125541125,244,132
3,q,cq,C+,oof,0.508671369782481,612,378
3,q,cq,C+,0,0.5954177897574123,123,70
3,q,cq,C+,1,0.507228158390949,123,86
3,q,cq,C+,2,0.7093795093795093,122,77
3,q,cq,C+,3,0.5546070061819253,122,79
3,q,cq,C+,4,0.6041666666666666,122,66
3,q,cq,C-,oof,0.5069642291864513,612,378
3,q,cq,C-,0,0.5884097035040431,123,70
3,q,cq,C-,1,0.5113136392206159,123,86
3,q,cq,C-,2,0.6995670995670995,122,77
3,q,cq,C-,3,0.5413600235501914,122,79
3,q,cq,C-,4,0.6204004329004328,122,66
3,cq,cq,all,oof,0.7252379821824265,1224,756
3,cq,cq,all,0,0.726954177897574,246,140
3,cq,cq,all,1,0.735779384035198,246,172
3,cq,cq,all,2,0.7367243867243867,244,154
3,cq,cq,all,3,0.719458345599058,244,158
3,cq,cq,all,4,0.7291666666666666,244,132
3,cq,cq,C+,oof,0.7283837561615338,612,378
3,cq,cq,C+,0,0.7312668463611859,123,70
3,cq,cq,C+,1,0.7382149591451916,123,86
3,cq,cq,C+,2,0.737085137085137,122,77
3,cq,cq,C+,3,0.7294671769208124,122,79
3,cq,cq,C+,4,0.7348484848484849,122,66
3,cq,cq,C-,oof,0.7222448333559446,612,378
3,cq,cq,C-,0,0.7264150943396226,123,70
3,cq,cq,C-,1,0.7338152105593966,123,86
3,cq,cq,C-,2,0.7356421356421355,122,77
3,cq,cq,C-,3,0.7109214012363851,122,79
3,cq,cq,C-,4,0.725108225108225,122,66
3,cq,q,all,oof,0.5134423189978745,1224,756
3,cq,q,all,0,0.6250673854447438,246,140
3,cq,q,all,1,0.679132620993086,246,172
3,cq,q,all,2,0.5792207792207793,244,154
3,cq,q,all,3,0.7191639682072417,244,158
3,cq,q,all,4,0.5955086580086579,244,132
3,cq,q,C+,oof,0.5134423189978745,612,378
3,cq,q,C+,0,0.6250673854447439,123,70
3,cq,q,C+,1,0.6791326209930861,123,86
3,cq,q,C+,2,0.5792207792207793,122,77
3,cq,q,C+,3,0.7191639682072417,122,79
3,cq,q,C+,4,0.5955086580086579,122,66
3,cq,q,C-,oof,0.5134423189978745,612,378
3,cq,q,C-,0,0.6250673854447439,123,70
3,cq,q,C-,1,0.6791326209930861,123,86
3,cq,q,C-,2,0.5792207792207793,122,77
3,cq,q,C-,3,0.7191639682072417,122,79
3,cq,q,C-,4,0.5955086580086579,122,66
4,q,q,all,oof,0.6633654411432188,1224,756
4,q,q,all,0,0.6630727762803235,246,140
4,q,q,all,1,0.6781898177247013,246,172
4,q,q,all,2,0.6672438672438672,244,154
4,q,q,all,3,0.6311451280541653,244,158
4,q,q,all,4,0.6972402597402598,244,132
4,q,q,C+,oof,0.6633654411432189,612,378
4,q,q,C+,0,0.6630727762803234,123,70
4,q,q,C+,1,0.6781898177247014,123,86
4,q,q,C+,2,0.6672438672438673,122,77
4,q,q,C+,3,0.6311451280541654,122,79
4,q,q,C+,4,0.6972402597402597,122,66
4,q,q,C-,oof,0.6633654411432189,612,378
4,q,q,C-,0,0.6630727762803234,123,70
4,q,q,C-,1,0.6781898177247014,123,86
4,q,q,C-,2,0.6672438672438673,122,77
4,q,q,C-,3,0.6311451280541654,122,79
4,q,q,C-,4,0.6972402597402597,122,66
4,q,cq,all,oof,0.5242306561751006,1224,756
4,q,cq,all,0,0.6299865229110513,246,140
4,q,cq,all,1,0.7524355751099938,246,172
4,q,cq,all,2,0.6904761904761904,244,154
4,q,cq,all,3,0.6474094789520165,244,158
4,q,cq,all,4,0.7220643939393939,244,132
4,q,cq,C+,oof,0.5251888029665808,612,378
4,q,cq,C+,0,0.6318059299191374,123,70
4,q,cq,C+,1,0.7545568824638592,123,86
4,q,cq,C+,2,0.6909090909090908,122,77
4,q,cq,C+,3,0.648807771563144,122,79
4,q,cq,C+,4,0.7210497835497836,122,66
4,q,cq,C-,oof,0.523278162167051,612,378
4,q,cq,C-,0,0.6291105121293801,123,70
4,q,cq,C-,1,0.7492143306096793,123,86
4,q,cq,C-,2,0.6926406926406926,122,77
4,q,cq,C-,3,0.6461583750367972,122,79
4,q,cq,C-,4,0.7226731601731602,122,66
4,cq,cq,all,oof,0.7348505404060959,1224,756
4,cq,cq,all,0,0.7685983827493261,246,140
4,cq,cq,all,1,0.7125235700817096,246,172
4,cq,cq,all,2,0.6925685425685425,244,154
4,cq,cq,all,3,0.7787753900500441,244,158
4,cq,cq,all,4,0.7440476190476191,244,132
4,cq,cq,C+,oof,0.7329851218740108,612,378
4,cq,cq,C+,0,0.7633423180592992,123,70
4,cq,cq,C+,1,0.7124450031426776,123,86
4,cq,cq,C+,2,0.6848484848484849,122,77
4,cq,cq,C+,3,0.7862820135413601,122,79
4,cq,cq,C+,4,0.7426948051948052,122,66
4,cq,cq,C-,oof,0.7367272645050422,612,378
4,cq,cq,C-,0,0.7730458221024259,123,70
4,cq,cq,C-,1,0.711502199874293,123,86
4,cq,cq,C-,2,0.7036075036075036,122,77
4,cq,cq,C-,3,0.7727406535178097,122,79
4,cq,cq,C-,4,0.7445887445887446,122,66
4,cq,q,all,oof,0.565662732329399,1224,756
4,cq,q,all,0,0.7070080862533692,246,140
4,cq,q,all,1,0.6819610307982401,246,172
4,cq,q,all,2,0.5304473304473305,244,154
4,cq,q,all,3,0.6900206064174271,244,158
4,cq,q,all,4,0.6461038961038961,244,132
4,cq,q,C+,oof,0.565662732329399,612,378
4,cq,q,C+,0,0.7070080862533693,123,70
4,cq,q,C+,1,0.6819610307982401,123,86
4,cq,q,C+,2,0.5304473304473305,122,77
4,cq,q,C+,3,0.6900206064174271,122,79
4,cq,q,C+,4,0.6461038961038961,122,66
4,cq,q,C-,oof,0.565662732329399,612,378
4,cq,q,C-,0,0.7070080862533693,123,70
4,cq,q,C-,1,0.6819610307982401,123,86
4,cq,q,C-,2,0.5304473304473305,122,77
4,cq,q,C-,3,0.6900206064174271,122,79
4,cq,q,C-,4,0.6461038961038961,122,66
5,q,q,all,oof,0.718502690724913,1224,756
5,q,q,all,0,0.6994609164420484,246,140
5,q,q,all,1,0.7467001885606537,246,172
5,q,q,all,2,0.7422799422799423,244,154
5,q,q,all,3,0.7076832499264056,244,158
